Application Date,Country,YOE,Seniority,Technology,Code Challenge Score,Technical Interview Score,approved
2020-04-23,Mozambique,24,Architect,Business Intelligence,5,3,False
2020-03-31,Afghanistan,3,Architect,Salesforce,0,2,False
2020-11-13,Venezuela,17,Trainee,Client Success,5,1,False
2019-12-01,Dominican Republic,15,Mid-Level,Business Analytics / Project Management,2,7,False
2018-02-26,Paraguay,5,Mid-Level,Sales,0,5,False
2018-11-24,Papua New Guinea,1,Trainee,Business Intelligence,1,7,False
2019-11-21,Vanuatu,12,Architect,Sales,6,8,False
2018-04-19,El Salvador,7,Mid-Level,DevOps,4,1,False
2022-04-27,Djibouti,8,Senior,QA Automation,4,10,False
2021-10-01,Croatia,20,Architect,Mulesoft,4,5,False
2018-08-19,British Indian Ocean Territory (Chagos Archipelago),20,Architect,Social Media Community Management,1,2,False
2020-09-18,Northern Mariana Islands,30,Mid-Level,DevOps,5,8,False
2020-09-29,Lesotho,18,Architect,QA Manual,2,5,False
2022-04-19,Philippines,12,Trainee,System Administration,9,8,True
2019-01-22,Lebanon,4,Lead,Development - Frontend,5,6,False
2018-05-08,Tajikistan,25,Architect,Sales,10,4,False
2018-09-07,Uzbekistan,2,Trainee,DevOps,2,9,False
2020-07-29,New Zealand,17,Intern,Development - Backend,10,7,False
2018-12-31,Honduras,29,Mid-Level,Security,1,3,False
2019-08-01,Turkey,29,Lead,Security Compliance,4,6,False
2019-04-28,Philippines,23,Intern,DevOps,7,3,False
2020-06-02,Colombia,24,Junior,Security Compliance,0,0,False
2022-03-10,Colombia,3,Senior,Development - CMS Frontend,10,9,True
2021-03-21,Nigeria,5,Junior,Data Engineer,6,5,False
2018-10-04,Senegal,30,Intern,DevOps,1,5,False
2022-04-22,French Guiana,27,Architect,DevOps,5,2,False
2019-03-28,Marshall Islands,11,Trainee,System Administration,8,2,False
2020-11-01,Philippines,17,Junior,Development - Frontend,7,2,False
2020-03-26,Niue,23,Lead,Development - Frontend,7,3,False
2021-07-06,San Marino,12,Junior,QA Manual,7,4,False
2020-12-11,Palau,4,Junior,Database Administration,10,4,False
2021-10-28,Pitcairn Islands,4,Junior,Development - CMS Frontend,4,7,False
2019-08-25,Faroe Islands,3,Architect,Game Development,3,2,False
2022-05-01,Western Sahara,11,Senior,Salesforce,1,10,False
2019-11-28,Virgin Islands British,5,Architect,Development - CMS Backend,6,0,False
2019-06-27,Eritrea,6,Senior,Game Development,0,3,False
2018-12-21,French Guiana,1,Architect,Business Intelligence,1,3,False
2019-07-20,Libyan Arab Jamahiriya,15,Senior,Development - FullStack,0,0,False
2018-03-15,Mali,3,Trainee,Security Compliance,5,9,False
2021-05-07,Austria,23,Architect,Data Engineer,9,6,False
2019-01-14,Dominican Republic,22,Architect,Development - Backend,2,1,False
2022-04-09,Hong Kong,29,Architect,Development - CMS Frontend,7,5,False
2019-02-09,Nepal,12,Senior,Security Compliance,8,4,False
2021-11-07,Kiribati,6,Lead,System Administration,7,4,False
2018-07-11,Gambia,9,Mid-Level,Development - Backend,0,9,False
2019-10-21,Estonia,26,Trainee,Technical Writing,6,8,False
2019-12-17,Comoros,16,Mid-Level,Adobe Experience Manager,10,5,False
2021-03-14,Kazakhstan,27,Senior,Adobe Experience Manager,7,9,False
2019-12-24,Christmas Island,27,Architect,Design,3,9,False
2022-03-06,Syrian Arab Republic,23,Trainee,DevOps,4,4,False
2019-03-14,Cocos (Keeling) Islands,26,Trainee,Security Compliance,5,10,False
2018-07-18,Niue,22,Junior,Salesforce,9,1,False
2019-06-09,Guyana,1,Intern,Salesforce,3,3,False
2021-10-14,San Marino,19,Senior,Security,5,4,False
2020-08-04,Turkmenistan,14,Lead,System Administration,0,0,False
2020-03-18,Zimbabwe,10,Trainee,DevOps,0,7,False
2019-02-28,Iceland,18,Trainee,Development - FullStack,7,6,False
2019-09-02,Colombia,30,Lead,Business Intelligence,5,2,False
2021-07-24,Mali,12,Trainee,Development - Backend,2,10,False
2018-09-07,Azerbaijan,7,Intern,DevOps,1,5,False
2021-10-08,Gibraltar,12,Junior,Data Engineer,8,1,False
2019-12-27,Ecuador,9,Trainee,QA Automation,7,10,False
2022-03-14,Jersey,27,Mid-Level,DevOps,6,1,False
2020-11-20,Djibouti,19,Architect,Sales,4,9,False
2019-01-24,Luxembourg,22,Mid-Level,QA Automation,6,8,False
2018-08-03,Indonesia,6,Intern,Development - Frontend,3,2,False
2018-03-24,Djibouti,24,Mid-Level,Salesforce,8,1,False
2019-01-10,Somalia,21,Junior,Mulesoft,7,8,False
2020-11-19,Zambia,9,Mid-Level,Security,5,3,False
2019-10-22,Saudi Arabia,9,Intern,Security,4,6,False
2022-04-01,Poland,7,Architect,Database Administration,8,7,False
2019-07-20,Saint Martin,7,Junior,Mulesoft,4,8,False
2020-09-06,Senegal,5,Lead,Database Administration,4,1,False
2018-08-17,Saint Kitts and Nevis,14,Senior,Mulesoft,9,6,False
2020-11-24,Spain,17,Junior,Development - FullStack,10,3,False
2022-06-28,American Samoa,30,Trainee,DevOps,6,3,False
2019-05-07,Mauritania,2,Mid-Level,Development - FullStack,3,3,False
2022-02-13,Saint Barthelemy,23,Senior,QA Automation,3,1,False
2018-11-14,Pakistan,11,Lead,DevOps,9,0,False
2019-03-06,Venezuela,9,Junior,Social Media Community Management,3,6,False
2019-12-03,Nigeria,29,Trainee,Client Success,1,7,False
2022-03-16,Greenland,9,Intern,Sales,5,0,False
2018-03-27,Palau,12,Architect,System Administration,4,9,False
2020-02-26,Yemen,26,Intern,DevOps,10,6,False
2021-08-24,Martinique,25,Lead,Data Engineer,6,1,False
2020-01-03,Bahamas,4,Trainee,Development - CMS Backend,10,5,False
2019-08-11,Brunei Darussalam,17,Architect,Database Administration,1,2,False
2019-01-28,El Salvador,30,Senior,Client Success,2,4,False
2019-03-09,Nicaragua,25,Trainee,Social Media Community Management,10,3,False
2020-02-07,Latvia,7,Architect,Security Compliance,4,0,False
2022-01-07,Mali,30,Architect,Adobe Experience Manager,8,9,True
2020-10-21,Western Sahara,8,Lead,Business Intelligence,1,2,False
2019-01-30,Kazakhstan,23,Senior,QA Manual,4,1,False
2021-09-24,Iran,5,Junior,Security,7,10,False
2022-02-22,China,20,Trainee,DevOps,1,2,False
2020-10-23,Saudi Arabia,24,Senior,Design,5,5,False
2020-06-10,Lao People's Democratic Republic,16,Lead,System Administration,3,0,False
2020-03-30,Burkina Faso,8,Trainee,Security Compliance,2,5,False
2022-03-26,Lithuania,20,Architect,Design,1,2,False
2022-07-02,Anguilla,8,Architect,Game Development,7,8,False
2019-04-08,Niger,13,Intern,Adobe Experience Manager,1,1,False
2020-11-29,Nigeria,2,Intern,Business Intelligence,2,0,False
2020-05-29,Liberia,20,Mid-Level,Development - CMS Frontend,7,3,False
2021-06-18,Iceland,16,Architect,Salesforce,2,7,False
2018-02-26,Lebanon,14,Mid-Level,Development - FullStack,10,0,False
2020-04-04,Armenia,19,Junior,Development - CMS Frontend,7,6,False
2020-05-23,Eritrea,14,Architect,DevOps,1,0,False
2020-09-02,Albania,5,Lead,QA Manual,7,10,False
2018-05-31,Sudan,4,Architect,QA Manual,4,4,False
2019-06-03,French Southern Territories,16,Junior,Business Intelligence,10,8,True
2019-04-18,Saint Pierre and Miquelon,26,Intern,System Administration,8,10,True
2018-07-27,Montenegro,30,Lead,Client Success,4,6,False
2020-08-23,Saudi Arabia,23,Architect,Development - CMS Frontend,4,5,False
2020-02-22,Hungary,20,Trainee,Game Development,2,9,False
2020-02-08,Belarus,24,Junior,Sales,3,9,False
2019-11-30,Bangladesh,10,Architect,Security,3,9,False
2021-02-08,Macedonia,23,Architect,Development - CMS Frontend,8,0,False
2019-12-22,Antigua and Barbuda,21,Architect,Security,7,0,False
2019-06-02,Bolivia,25,Mid-Level,Client Success,4,3,False
2018-11-20,Reunion,4,Mid-Level,Development - CMS Frontend,1,8,False
2020-04-06,Rwanda,26,Intern,Social Media Community Management,6,8,False
2020-10-20,Botswana,30,Architect,Sales,0,4,False
2019-05-21,Denmark,23,Lead,Salesforce,6,2,False
2020-07-21,Russian Federation,12,Mid-Level,DevOps,0,4,False
2021-05-04,Saint Kitts and Nevis,7,Junior,Development - Backend,3,1,False
2020-02-12,Guinea,23,Trainee,DevOps,9,4,False
2019-12-14,Croatia,21,Mid-Level,Development - CMS Frontend,1,4,False
2019-08-12,Bahamas,8,Mid-Level,DevOps,5,8,False
2018-06-08,Venezuela,11,Junior,Adobe Experience Manager,5,9,False
2021-05-04,Jordan,1,Lead,QA Automation,10,8,True
2019-10-03,Holy See (Vatican City State),10,Intern,Development - FullStack,6,2,False
2018-12-24,Swaziland,24,Senior,Technical Writing,2,6,False
2022-03-20,Aruba,24,Senior,Game Development,4,2,False
2020-07-30,Vanuatu,29,Architect,Database Administration,1,9,False
2020-01-04,Mayotte,12,Lead,Business Analytics / Project Management,3,8,False
2018-11-18,Saint Helena,16,Trainee,QA Manual,8,7,False
2021-07-20,Gabon,6,Trainee,Business Intelligence,3,9,False
2021-12-12,Germany,28,Lead,Development - Frontend,10,1,False
2019-01-28,Armenia,9,Architect,Development - Backend,4,8,False
2020-07-04,Isle of Man,14,Intern,Technical Writing,7,7,False
2018-07-23,Slovenia,3,Mid-Level,DevOps,8,10,True
2021-03-20,Aruba,13,Intern,Social Media Community Management,0,10,False
2019-10-17,Timor-Leste,1,Mid-Level,DevOps,2,2,False
2018-05-28,Vietnam,17,Mid-Level,Mulesoft,8,10,True
2021-09-21,Montenegro,30,Junior,Database Administration,2,2,False
2018-10-27,Pakistan,1,Architect,System Administration,5,8,False
2020-12-02,Christmas Island,23,Junior,Adobe Experience Manager,2,3,False
2018-08-23,Micronesia,13,Lead,Development - CMS Frontend,7,0,False
2020-05-14,Czech Republic,21,Senior,QA Automation,1,4,False
2019-11-12,Spain,20,Intern,Database Administration,4,2,False
2019-03-16,Swaziland,15,Senior,DevOps,2,0,False
2021-03-01,Timor-Leste,25,Junior,Development - CMS Frontend,8,5,False
2021-12-04,Belize,25,Intern,Game Development,6,0,False
2022-02-22,Sri Lanka,12,Intern,Business Analytics / Project Management,8,4,False
2018-03-06,Romania,29,Lead,QA Manual,0,0,False
2020-04-17,Micronesia,18,Junior,QA Automation,3,0,False
2018-03-09,Tajikistan,30,Trainee,QA Automation,8,10,True
2022-04-02,Antarctica (the territory South of 60 deg S),17,Junior,Design,5,1,False
2022-06-11,Djibouti,2,Architect,Development - Frontend,9,4,False
2020-04-23,Burundi,10,Senior,Mulesoft,7,9,False
2018-03-07,Sweden,16,Junior,System Administration,10,3,False
2022-03-16,Vanuatu,4,Trainee,QA Manual,7,5,False
2018-07-22,Tuvalu,23,Trainee,Business Analytics / Project Management,5,7,False
2019-01-19,Holy See (Vatican City State),12,Intern,Business Intelligence,3,1,False
2022-06-01,Slovakia (Slovak Republic),26,Intern,Adobe Experience Manager,9,1,False
2019-07-05,Sudan,11,Mid-Level,Development - Frontend,0,1,False
2020-01-05,Iceland,13,Junior,DevOps,6,2,False
2022-05-21,Palau,4,Mid-Level,Development - FullStack,10,6,False
2020-09-29,Tuvalu,21,Lead,Security,1,5,False
2018-05-17,Ethiopia,24,Mid-Level,Game Development,9,8,True
2020-07-07,Oman,27,Lead,QA Manual,5,8,False
2020-01-31,Iceland,2,Senior,Data Engineer,6,5,False
2022-06-24,Cape Verde,2,Senior,Sales,0,2,False
2021-08-07,Wallis and Futuna,9,Junior,QA Automation,8,5,False
2019-04-14,Botswana,6,Architect,QA Automation,6,5,False
2018-07-14,China,11,Architect,Mulesoft,8,5,False
2020-07-17,Ireland,18,Trainee,Adobe Experience Manager,8,2,False
2020-01-02,Kyrgyz Republic,8,Lead,Development - Backend,7,10,False
2018-04-04,Virgin Islands U.S.,13,Senior,Security Compliance,0,6,False
2018-08-28,Bahamas,20,Mid-Level,Sales,10,5,False
2019-07-17,Martinique,14,Intern,Sales,1,9,False
2021-08-16,Bermuda,21,Mid-Level,Mulesoft,3,2,False
2020-05-09,Kuwait,29,Architect,Technical Writing,4,3,False
2020-06-04,Georgia,7,Trainee,Database Administration,1,10,False
2020-04-12,Cocos (Keeling) Islands,12,Senior,Business Intelligence,8,10,True
2018-12-21,Puerto Rico,10,Trainee,Game Development,3,9,False
2019-01-01,Mayotte,26,Junior,QA Automation,2,9,False
2018-10-13,Anguilla,27,Senior,Design,8,8,True
2019-12-06,Malaysia,25,Intern,Sales,5,1,False
2018-11-01,Nauru,4,Trainee,Client Success,10,9,True
2018-01-19,Venezuela,0,Architect,Sales,7,7,False
2021-11-30,Switzerland,4,Lead,Database Administration,1,4,False
2019-07-23,Heard Island and McDonald Islands,22,Junior,Data Engineer,8,9,True
2020-08-06,Cyprus,6,Architect,Client Success,2,4,False
2021-06-07,Eritrea,16,Mid-Level,Business Intelligence,6,6,False
2019-09-25,Brunei Darussalam,15,Architect,Game Development,3,6,False
2020-01-11,Poland,27,Senior,Business Intelligence,9,3,False
2022-05-11,Cayman Islands,26,Mid-Level,Development - Frontend,5,9,False
2020-11-17,Belize,14,Lead,System Administration,9,3,False
2019-07-13,Poland,20,Senior,Development - Frontend,7,8,False
2021-04-04,Guernsey,14,Lead,QA Manual,10,0,False
2018-11-01,Lithuania,4,Lead,Development - Backend,5,7,False
2019-11-01,Turkey,1,Intern,QA Automation,0,8,False
2021-09-17,Japan,23,Architect,Development - FullStack,1,3,False
2020-02-23,Italy,17,Architect,Client Success,1,7,False
2019-12-14,Peru,11,Senior,Adobe Experience Manager,3,3,False
2019-06-29,Iceland,4,Senior,Development - CMS Frontend,6,6,False
2021-11-08,Vanuatu,15,Mid-Level,Game Development,3,2,False
2020-04-06,United Kingdom,8,Senior,Development - CMS Frontend,5,3,False
2022-02-24,Cook Islands,27,Architect,Security,9,9,True
2020-08-04,Latvia,2,Intern,Business Intelligence,9,6,False
2019-08-03,Niger,21,Junior,DevOps,4,4,False
2019-08-02,Liechtenstein,24,Architect,Security,9,1,False
2019-01-20,Saint Lucia,18,Mid-Level,Sales,1,5,False
2018-12-08,Cuba,17,Lead,System Administration,4,9,False
2019-04-15,Myanmar,5,Intern,Data Engineer,10,6,False
2018-03-30,Solomon Islands,4,Trainee,QA Manual,2,1,False
2020-01-05,Estonia,1,Mid-Level,Database Administration,3,10,False
2021-02-27,Antigua and Barbuda,22,Lead,Game Development,6,3,False
2019-04-28,Sao Tome and Principe,17,Senior,DevOps,10,8,True
2019-10-06,Kenya,4,Junior,Design,10,1,False
2018-02-19,Georgia,26,Lead,Business Analytics / Project Management,1,4,False
2020-01-26,Yemen,7,Intern,Development - CMS Frontend,10,5,False
2020-03-25,Japan,16,Junior,DevOps,10,7,False
2020-07-27,Sierra Leone,23,Trainee,Salesforce,1,1,False
2020-08-05,Belgium,13,Mid-Level,Development - Backend,2,8,False
2018-06-20,Falkland Islands (Malvinas),25,Lead,Data Engineer,1,4,False
2018-05-15,Liechtenstein,30,Lead,Design,4,4,False
2019-08-31,Mali,27,Architect,Sales,3,9,False
2019-01-11,Netherlands Antilles,9,Intern,Technical Writing,2,5,False
2019-12-15,Malawi,4,Lead,Development - FullStack,1,1,False
2019-05-08,United Kingdom,26,Trainee,Sales,10,8,True
2019-11-25,Canada,18,Intern,Technical Writing,3,5,False
2020-12-10,Oman,29,Mid-Level,DevOps,10,0,False
2021-03-03,Marshall Islands,23,Architect,DevOps,5,10,False
2022-02-10,Niue,30,Junior,Social Media Community Management,9,6,False
2020-04-06,Greenland,15,Architect,Development - CMS Backend,0,3,False
2020-12-09,Jordan,15,Architect,Social Media Community Management,9,9,True
2018-09-06,Ukraine,30,Trainee,Development - FullStack,1,5,False
2018-04-20,French Polynesia,12,Architect,Game Development,0,8,False
2022-01-19,Tokelau,29,Junior,Salesforce,0,5,False
2018-12-28,Burundi,15,Senior,Security,10,4,False
2020-10-18,Cape Verde,30,Senior,Development - CMS Frontend,8,6,False
2020-03-04,Mauritania,18,Intern,Security,0,0,False
2022-01-30,United States of America,19,Senior,DevOps,0,5,False
2019-06-07,Swaziland,5,Lead,Security,0,0,False
2018-08-19,Tuvalu,12,Lead,Data Engineer,5,2,False
2019-08-20,Saint Kitts and Nevis,16,Lead,System Administration,7,0,False
2018-03-07,Burundi,1,Lead,Security Compliance,0,3,False
2018-11-10,Iceland,10,Intern,Security,6,10,False
2018-05-02,Solomon Islands,15,Mid-Level,DevOps,5,2,False
2021-01-29,Malawi,23,Senior,Social Media Community Management,6,9,False
2018-01-17,Saint Vincent and the Grenadines,18,Senior,QA Manual,4,0,False
2022-01-31,Gabon,24,Architect,Salesforce,10,1,False
2019-05-02,Republic of Korea,7,Mid-Level,Adobe Experience Manager,0,1,False
2021-02-01,New Zealand,6,Lead,DevOps,2,9,False
2020-06-26,Bahamas,24,Junior,Security,6,4,False
2020-11-13,Kazakhstan,12,Architect,Sales,1,4,False
2018-06-25,Lithuania,28,Junior,Game Development,0,4,False
2022-05-18,Monaco,23,Senior,Adobe Experience Manager,5,9,False
2022-01-05,Trinidad and Tobago,12,Trainee,Client Success,9,10,True
2018-08-18,Cambodia,5,Intern,DevOps,10,1,False
2018-11-29,Vietnam,26,Junior,Data Engineer,4,7,False
2019-04-13,Cook Islands,11,Lead,DevOps,4,0,False
2020-06-10,Slovakia (Slovak Republic),20,Senior,Development - Backend,6,10,False
2020-10-04,Egypt,15,Senior,Business Intelligence,0,9,False
2019-06-18,Bermuda,8,Intern,Social Media Community Management,4,2,False
2020-03-30,Guinea-Bissau,26,Junior,Mulesoft,5,5,False
2018-07-29,Madagascar,30,Senior,Development - Backend,2,2,False
2021-11-01,Saint Kitts and Nevis,24,Intern,Technical Writing,1,8,False
2019-05-22,Mauritania,7,Junior,Security,1,10,False
2019-08-11,Brazil,25,Mid-Level,Adobe Experience Manager,6,7,False
2019-02-14,Burundi,29,Trainee,Client Success,2,4,False
2019-07-02,Bermuda,12,Lead,Client Success,2,3,False
2020-10-11,Russian Federation,24,Architect,Development - FullStack,1,9,False
2021-03-25,Qatar,17,Junior,Development - CMS Backend,6,5,False
2021-01-03,Bulgaria,7,Lead,Salesforce,8,7,False
2018-07-02,Martinique,29,Senior,System Administration,4,9,False
2019-11-11,Madagascar,7,Lead,Data Engineer,7,4,False
2020-01-06,Gibraltar,27,Intern,Business Analytics / Project Management,8,6,False
2021-04-25,Canada,10,Architect,Social Media Community Management,2,5,False
2021-10-11,Cameroon,19,Senior,Business Intelligence,10,8,True
2018-01-14,Pakistan,4,Intern,Mulesoft,7,1,False
2022-03-02,Guernsey,11,Lead,DevOps,4,0,False
2020-01-02,Israel,5,Mid-Level,Game Development,0,3,False
2021-02-03,Bolivia,10,Junior,Game Development,6,10,False
2019-11-23,Madagascar,20,Mid-Level,Development - CMS Frontend,2,3,False
2021-04-03,Niger,16,Architect,Adobe Experience Manager,9,7,False
2021-03-20,Netherlands Antilles,6,Architect,Business Intelligence,7,1,False
2019-08-10,Macao,11,Trainee,Security,4,6,False
2020-03-19,Kiribati,3,Junior,Development - Frontend,4,6,False
2020-08-09,Ethiopia,15,Lead,Database Administration,1,1,False
2022-02-15,Vietnam,23,Intern,Design,3,8,False
2019-07-30,Lao People's Democratic Republic,7,Lead,Database Administration,1,9,False
2018-07-14,Gabon,17,Lead,Mulesoft,3,10,False
2021-08-25,Saint Pierre and Miquelon,24,Architect,DevOps,3,5,False
2019-11-30,Tajikistan,13,Intern,Database Administration,4,3,False
2020-10-16,Lebanon,4,Junior,Salesforce,4,6,False
2018-09-25,American Samoa,6,Lead,Game Development,4,6,False
2020-12-29,Pitcairn Islands,12,Mid-Level,Security,6,10,False
2018-08-16,Iran,2,Lead,Game Development,2,3,False
2018-12-10,Christmas Island,17,Mid-Level,Sales,8,8,True
2022-03-12,Virgin Islands British,3,Intern,QA Automation,7,7,False
2022-06-14,Luxembourg,17,Mid-Level,Adobe Experience Manager,4,0,False
2019-07-19,Uzbekistan,27,Intern,Mulesoft,6,9,False
2018-08-05,Sudan,19,Mid-Level,Development - CMS Backend,9,1,False
2019-06-09,Slovenia,13,Trainee,Sales,3,9,False
2019-10-20,Niue,16,Junior,Mulesoft,4,0,False
2019-02-06,Heard Island and McDonald Islands,21,Architect,Game Development,9,3,False
2019-05-22,Slovenia,24,Lead,QA Manual,5,7,False
2018-02-16,Palau,20,Senior,Development - FullStack,0,1,False
2019-12-26,Croatia,15,Lead,Development - FullStack,4,10,False
2021-09-30,United States Minor Outlying Islands,15,Mid-Level,DevOps,6,9,False
2020-01-13,Northern Mariana Islands,21,Lead,Social Media Community Management,10,6,False
2018-07-09,Poland,9,Intern,System Administration,10,1,False
2019-03-28,Bermuda,7,Lead,System Administration,0,8,False
2020-03-25,Malaysia,4,Lead,Development - CMS Frontend,3,6,False
2021-02-18,Finland,7,Architect,QA Manual,9,1,False
2019-03-02,Cote d'Ivoire,2,Senior,Game Development,10,10,True
2020-01-26,Slovenia,12,Architect,Development - Frontend,9,3,False
2020-05-28,Azerbaijan,14,Junior,Game Development,4,0,False
2022-02-22,Taiwan,19,Trainee,System Administration,9,7,False
2021-10-29,Italy,16,Trainee,Design,6,0,False
2018-10-15,Virgin Islands British,25,Trainee,Salesforce,3,0,False
2020-04-02,Bahrain,25,Junior,Security Compliance,6,4,False
2022-01-25,Western Sahara,28,Junior,Database Administration,2,8,False
2019-12-27,Greenland,16,Architect,System Administration,1,1,False
2019-05-14,Kyrgyz Republic,20,Mid-Level,Development - CMS Backend,0,10,False
2018-05-27,Tokelau,20,Intern,Mulesoft,8,9,True
2018-08-11,Montserrat,22,Trainee,Development - Backend,9,4,False
2021-05-02,Bosnia and Herzegovina,6,Intern,Game Development,1,5,False
2018-11-20,Ukraine,23,Lead,QA Automation,3,1,False
2019-08-27,Solomon Islands,24,Intern,Sales,10,7,False
2019-07-14,Germany,2,Senior,Social Media Community Management,3,7,False
2019-10-11,Turks and Caicos Islands,24,Junior,Game Development,0,0,False
2022-06-29,Samoa,3,Junior,Sales,1,1,False
2018-10-09,Ecuador,25,Junior,Data Engineer,2,3,False
2018-02-17,Italy,16,Architect,QA Automation,8,0,False
2019-05-02,Algeria,1,Mid-Level,DevOps,6,4,False
2018-04-04,Sri Lanka,21,Trainee,Game Development,0,7,False
2021-04-01,Bulgaria,21,Junior,Development - CMS Frontend,1,9,False
2021-07-11,Solomon Islands,25,Lead,DevOps,4,5,False
2019-05-12,Tonga,7,Senior,Development - FullStack,9,4,False
2021-05-13,Faroe Islands,9,Trainee,Game Development,5,5,False
2021-07-19,France,6,Architect,Security Compliance,9,0,False
2018-01-24,Belize,18,Mid-Level,Design,1,10,False
2020-02-08,Australia,29,Intern,Game Development,10,8,True
2018-07-16,Fiji,4,Intern,Mulesoft,8,9,True
2021-07-11,Ireland,16,Lead,Development - CMS Frontend,3,8,False
2018-01-08,Guinea,19,Intern,Game Development,10,0,False
2020-07-24,Afghanistan,30,Lead,Game Development,8,6,False
2021-10-17,Maldives,8,Trainee,Technical Writing,1,5,False
2021-11-11,Libyan Arab Jamahiriya,19,Intern,Game Development,4,5,False
2019-12-14,Gabon,16,Lead,Business Intelligence,3,8,False
2019-12-26,Bahrain,13,Architect,Adobe Experience Manager,2,1,False
2021-11-18,Russian Federation,18,Architect,Database Administration,1,1,False
2020-11-29,Seychelles,25,Mid-Level,Development - Frontend,1,10,False
2018-07-19,Italy,6,Mid-Level,Security,9,2,False
2019-10-27,Yemen,17,Trainee,Mulesoft,8,3,False
2021-11-16,Trinidad and Tobago,25,Lead,Development - CMS Backend,6,3,False
2020-05-17,Isle of Man,17,Architect,Mulesoft,6,2,False
2022-05-05,Mozambique,5,Lead,Security,3,8,False
2018-10-28,Samoa,7,Junior,Game Development,5,4,False
2018-01-22,American Samoa,18,Senior,Business Analytics / Project Management,1,1,False
2018-08-04,Togo,0,Senior,Development - CMS Backend,5,0,False
2022-06-07,Kenya,24,Intern,Development - Backend,10,10,True
2019-05-18,Hungary,27,Junior,Security Compliance,7,3,False
2018-11-23,Bosnia and Herzegovina,26,Intern,Game Development,2,0,False
2021-07-02,Finland,18,Senior,System Administration,2,3,False
2020-04-14,Timor-Leste,25,Mid-Level,Business Analytics / Project Management,1,2,False
2018-12-16,Burundi,21,Intern,Data Engineer,1,1,False
2021-12-06,Reunion,2,Lead,System Administration,10,5,False
2019-01-24,Democratic People's Republic of Korea,4,Intern,System Administration,4,4,False
2018-07-04,Guatemala,1,Trainee,DevOps,3,8,False
2020-03-02,Honduras,9,Trainee,Development - CMS Frontend,5,2,False
2021-09-16,Tonga,10,Architect,Development - CMS Frontend,7,10,False
2019-03-22,Austria,19,Junior,Security,1,8,False
2020-06-10,Bouvet Island (Bouvetoya),3,Senior,Business Analytics / Project Management,6,6,False
2021-02-22,Brazil,23,Junior,Salesforce,8,10,True
2018-01-12,Azerbaijan,19,Senior,Development - CMS Backend,4,4,False
2019-08-14,Djibouti,5,Mid-Level,Design,6,4,False
2021-12-05,Switzerland,18,Lead,Salesforce,8,4,False
2018-02-01,Guinea-Bissau,21,Mid-Level,Database Administration,1,9,False
2021-09-24,Antarctica (the territory South of 60 deg S),12,Mid-Level,Security Compliance,0,0,False
2021-03-22,Montserrat,22,Intern,QA Manual,0,6,False
2018-05-17,Comoros,12,Senior,Design,8,6,False
2021-11-02,Lao People's Democratic Republic,2,Junior,DevOps,4,1,False
2021-01-10,Ethiopia,10,Intern,Game Development,2,7,False
2022-06-28,Kyrgyz Republic,19,Mid-Level,DevOps,4,7,False
2021-04-15,Mozambique,14,Senior,Social Media Community Management,1,3,False
2019-09-18,Vietnam,18,Architect,Security,8,10,True
2021-03-30,Puerto Rico,26,Intern,Database Administration,10,7,False
2021-07-31,Falkland Islands (Malvinas),25,Mid-Level,Development - Backend,9,10,True
2018-11-09,Western Sahara,15,Lead,Game Development,3,0,False
2019-04-10,Ecuador,17,Senior,System Administration,10,4,False
2018-04-17,Antigua and Barbuda,7,Trainee,Business Analytics / Project Management,0,8,False
2018-09-26,United States Minor Outlying Islands,22,Intern,QA Manual,8,9,True
2019-03-22,Palestinian Territory,26,Junior,Development - Backend,9,4,False
2019-03-21,Tajikistan,4,Senior,Sales,5,0,False
2021-04-11,Netherlands Antilles,2,Mid-Level,Database Administration,1,4,False
2020-07-12,Ecuador,29,Lead,DevOps,8,8,True
2018-09-27,Brazil,15,Mid-Level,Client Success,9,10,True
2020-12-25,Comoros,30,Architect,Development - Frontend,7,8,False
2020-12-21,Kazakhstan,19,Senior,System Administration,1,7,False
2021-08-18,Svalbard & Jan Mayen Islands,8,Trainee,Development - Backend,2,9,False
2020-05-05,Senegal,13,Junior,Client Success,0,2,False
2021-11-11,Palau,14,Architect,Social Media Community Management,6,8,False
2019-10-23,Saint Vincent and the Grenadines,8,Senior,Database Administration,0,2,False
2021-04-21,Vietnam,9,Trainee,Technical Writing,1,3,False
2020-07-04,Jamaica,30,Mid-Level,Adobe Experience Manager,8,2,False
2021-04-04,Slovenia,10,Mid-Level,Development - CMS Frontend,0,5,False
2018-08-17,Kenya,28,Architect,DevOps,7,10,False
2020-08-20,Philippines,1,Junior,Security Compliance,0,6,False
2018-03-30,Norway,6,Architect,Development - Frontend,3,8,False
2021-01-09,Australia,12,Intern,Game Development,10,1,False
2020-01-09,British Indian Ocean Territory (Chagos Archipelago),22,Intern,Data Engineer,7,1,False
2020-06-01,Eritrea,20,Junior,Game Development,2,8,False
2021-06-01,Guam,6,Mid-Level,QA Manual,2,3,False
2019-09-21,Liberia,29,Intern,Development - CMS Backend,3,4,False
2019-07-12,Seychelles,8,Trainee,Sales,1,6,False
2018-10-23,Bhutan,26,Junior,Salesforce,2,9,False
2018-09-04,Dominica,24,Junior,Development - Backend,7,8,False
2022-01-04,Guinea-Bissau,24,Intern,Social Media Community Management,1,1,False
2019-04-20,Gibraltar,0,Intern,Development - FullStack,10,9,True
